country,2007
Afghanistan,88.2k
Angola,40.5k
Albania,12
United Arab Emirates,4
Argentina,83
Armenia,18
Australia,5
Austria,1
Azerbaijan,691
Burundi,10.3k
Belgium,8
Benin,4970
Burkina Faso,21.7k
Bangladesh,18.4k
Bulgaria,14
Bahrain,1
Bahamas,1
Bosnia and Herzegovina,6
Belarus,5
Belize,10
Bolivia,2070
Brazil,3470
Barbados,0
Brunei,1
Bhutan,161
Botswana,98
Central African Republic,4310
Canada,1
Switzerland,0
Chile,6
China,10.4k
Cote d'Ivoire,9910
Cameroon,14.1k
"Congo, Dem. Rep.",98.1k
"Congo, Rep.",2150
Colombia,739
Comoros,437
Cape Verde,27
Costa Rica,10
Cuba,10
Cyprus,0
Czech Republic,5
Germany,7
Djibouti,404
Denmark,1
Dominican Republic,657
Algeria,3690
Ecuador,388
Egypt,2150
Eritrea,2170
Spain,0
Estonia,0
Ethiopia,70.9k
Finland,0
Fiji,17
France,22
"Micronesia, Fed. Sts.",5
Gabon,166
United Kingdom,4
Georgia,85
Ghana,4870
Guinea,7200
Gambia,837
Guinea-Bissau,2260
Equatorial Guinea,304
Greece,0
Grenada,0
Guatemala,2940
Guyana,118
Honduras,590
Croatia,1
Haiti,3800
Hungary,2
Indonesia,25.7k
India,203k
Ireland,0
Iran,4360
Iraq,4610
Iceland,0
Israel,0
Italy,1
Jamaica,231
Jordan,119
Japan,45
Kazakhstan,208
Kenya,37.9k
Kyrgyz Republic,642
Cambodia,2120
South Korea,5
Kuwait,2
Lao,712
Lebanon,21
Liberia,3350
Libya,89
St. Lucia,0
Sri Lanka,202
Lesotho,408
Lithuania,0
Luxembourg,0
Latvia,2
Morocco,2760
Moldova,17
Madagascar,15.6k
Maldives,13
Mexico,1950
North Macedonia,9
Mali,18.6k
Malta,0
Myanmar,14.5k
Montenegro,0
Mongolia,92
Mozambique,12.4k
Mauritania,1840
Mauritius,5
Malawi,5930
Malaysia,35
Namibia,148
Niger,24.2k
Nigeria,192k
Nicaragua,343
Netherlands,0
Norway,6
Nepal,5070
New Zealand,1
Oman,13
Pakistan,66.8k
Panama,91
Peru,658
Philippines,4850
Papua New Guinea,650
Poland,6
North Korea,2070
Portugal,0
Paraguay,365
Qatar,2
Romania,32
Russia,183
Rwanda,9040
Saudi Arabia,597
Sudan,13.9k
Senegal,7020
Singapore,0
Solomon Islands,21
Sierra Leone,8700
El Salvador,82
Somalia,15.6k
Serbia,3
Sao Tome and Principe,70
Suriname,14
Slovak Republic,1
Slovenia,0
Sweden,3
Eswatini,237
Syria,449
Chad,21k
Togo,2220
Thailand,266
Tajikistan,2250
Turkmenistan,665
Tonga,4
Trinidad and Tobago,0
Tunisia,167
Turkey,389
Tanzania,19.2k
Uganda,29.7k
Ukraine,45
Uruguay,16
United States,32
Uzbekistan,2490
St. Vincent and the Grenadines,1
Venezuela,761
Vietnam,471
Vanuatu,15
Samoa,8
Yemen,11.1k
South Africa,6190
Zambia,10.9k
Zimbabwe,3160
